Date,Working_Age_Population,Not_in_Labour_Force,Labour_Force,Emp_SA_Total,Unemployment,PR_SA_Total,UR_SA_Total,Emp_SA_FT_Male,Emp_SA_FT_Female,Emp_SA_FT,Emp_SA_PT_Male,Emp_SA_PT_Female,Emp_SA_PT,PR_SA_Male,PR_SA_Female,UR_SA_Male,UR_SA_Female,FT_Share_Male,FT_Share_Female
1989-01,12.92165459,4.905794649000001,8.10445443825,7.55274815646,0.55170628179,0.6271994335,0.0680744504,4156.74339216,1869.95943353,6.02670282568,328.46594709,1197.57938369,1.5260453307800002,75.16701802,50.63205325,6.27138403,7.58030216,0.9267668636521379,0.6095960132705597
1989-02,12.94135588,4.777133849,8.14592650952,7.60528138752,0.540645122,0.6294492312,0.0663699975,4183.73800757,1879.3137011,6.06305170867,326.98644304,1215.24323581,1.54222967885,75.47450016,50.77584629,6.26928647,7.16785194,0.9275091071023457,0.607296533692654
1989-03,12.961327820000001,4.780824496999999,8.14041629996,7.6240596747,0.51635662525,0.6280541942,0.0634312308,4195.07473293,1889.48415547,6.0845588884,325.70323376,1213.79755254,1.5395007863,75.2503096,50.7174568,5.93017502,6.93824822,0.927954162721583,0.6088664624268495
1989-04,12.979991900000002,4.786570241000001,8.16181262143,7.65577212408,0.50604049735,0.6287995157999999,0.0620009942,4216.20580027,1900.96684721,6.1171726474799994,329.00348542,1209.59599117,1.5385994766,75.37309694,50.74506973,5.71183672,6.90453263,0.9276153275371004,0.6111327582760022
1989-05,12.998595649999999,4.760468971,8.227838884959999,7.71118481485,0.51665407011,0.6329790622,0.0627934112,4225.43858312,1909.00360535,6.13444218847,339.26299561,1237.47963077,1.57674262638,75.60825193,51.3405552,5.73719922,7.05484921,0.9256768509926578,0.6067102419093247
1989-06,13.017418260000001,4.830435668,8.2039799169,7.710774213460001,0.49320570343000003,0.6302309531,0.060117858499999996,4220.54998838,1924.51377147,6.14506375985,343.5847657,1222.12568791,1.5657104536100002,75.39073545,51.01001181,5.61397085,6.58288479,0.9247207227190518,0.6116092410057039
1989-07,13.03609328,4.813241615,8.2329086407,7.7354735874600005,0.49743505324,0.631547233,0.0604203296,4229.39185382,1915.86799823,6.14525985205,352.51876035,1237.69497506,1.59021373541,75.5524217,51.1131444,5.58180639,6.7027718,0.9230629337770576,0.6075248899283097
1989-08,13.05473014,4.871115261,8.26603614554,7.774749109499999,0.49128703603999996,0.6331832261,0.059434416600000005,4240.37004426,1926.95757009,6.1673276143399995,355.01171854,1252.40977662,1.6074214951599999,75.606987,51.38335851,5.5047787,6.57032517,0.9227459791450081,0.6060820785883739
1989-09,13.07357384,4.732185659,8.28312690584,7.78361109052,0.49951581531,0.6335778577,0.060305223000000005,4224.62415301,1928.97451671,6.15359866972,366.63298943,1263.37943137,1.6300124208,75.52822236,51.5383098,5.62467222,6.60813508,0.9201454028699524,0.6042483221104467
1989-10,13.09342435,4.830510495,8.28261651347,7.791965497920001,0.49065101555,0.6325783303,0.059238649399999996,4237.32630035,1937.34317226,6.174669472610001,359.95437767,1257.34164763,1.61729602531,75.30618275,51.556597,5.3672541,6.71345599,0.9217027623762514,0.6064270128302381
1989-11,13.11316066,4.8054866380000005,8.32646113024,7.84466816723,0.48179296301,0.6349698098,0.057862872999999995,4256.04124913,1958.46645111,6.21450770024,370.25614082,1259.90432617,1.63016046699,75.58476849,51.75713232,5.26502634,6.52561157,0.9199670687785159,0.6085272911796678
1989-12,13.13309499,4.696605633,8.31614730022,7.82979829251,0.48634900771,0.633220677,0.0584824908,4229.89325753,1959.08449715,6.18897775468,373.68557663,1267.1349612,1.6408205378299998,75.27510188,51.71270348,5.48772744,6.35795035,0.9188271581541873,0.607238448109771
1990-01,13.15125439,4.894265861,8.34916241276,7.83879287445,0.5103695383,0.6348567342,0.0611282322,4244.60033303,1961.07276132,6.20567309435,370.42295763,1262.69682248,1.6331197801000001,75.54174334,51.77627777,5.71739772,6.67316056,0.919735408837552,0.6083166648059247
1990-02,13.16928555,4.773619286,8.38224600985,7.84653199111,0.53571401875,0.6364996777999999,0.0639105579,4236.60386451,1965.31006424,6.20191392875,369.65835592,1274.95970643,1.64461806235,75.42310085,52.21547739,5.87696667,7.11227668,0.9197487380808529,0.6065266793615234
